obs,low        (fiat),high      (fiat),open      (fiat),close     (fiat),vol      (fiat),trade_vol  (fiat),low (crypto),high (crypto),open (crypto),close (crypto),vol (crypto),trade_vol (crypto),
82,42.388,43.477,43.375,42.729,1190.868249,50884.60943,0.00593123,0.00604808,0.00603222,0.00598264,346.2034642,2.071210693,
83,42.553,44.647,42.741,44.361,3239.515862,143708.1632,0.00588583,0.00606396,0.00596692,0.00588583,486.7460908,2.864904744,
84,42.454,44.917,44.438,42.772,3542.810053,151533.0716,0.00578145,0.00591644,0.00588583,0.00584988,851.0671554,4.978640731,
85,41.196,43.143,42.791,41.78,1897.045819,79258.57432,0.00570535,0.00586641,0.00584823,0.00573481,718.550007,4.120747765,
86,40.393,41.758,41.623,40.842,2051.503985,83787.52575,0.0056306,0.00575747,0.00573481,0.00564083,688.2649228,3.882385424,
87,38.194,41.259,40.87,40.054,7209.799916,288781.3258,0.00531879,0.00564787,0.00564093,0.00554582,1131.953786,6.277611944,
88,38.17,40.362,39.985,39.669,4593.509058,182219.9108,0.00537841,0.00557717,0.00554055,0.00547,1003.566622,5.489509421,
89,39.498,43.339,39.632,41.777,7066.395187,295212.7917,0.00544524,0.00587004,0.00545939,0.00573335,1283.44001,7.358410783,
90,41.196,46.809,41.701,44.669,11729.1832,523930.8846,0.00565299,0.0060989,0.00570467,0.00606016,1517.409844,9.195746442,
91,40.939,44.922,44.557,41.992,8596.49139,360983.8665,0.00575102,0.00606155,0.00606155,0.00582324,2296.81938,13.37493049,
92,40.446,42.521,41.93,40.918,4764.885784,194969.5965,0.00566932,0.00588571,0.00582365,0.00570233,613.4208645,3.497928198,
93,40.544,42.5,40.828,41.806,2795.723823,116878.0301,0.00569725,0.00588999,0.00571419,0.00579619,463.313666,2.685454038,
94,38.461,41.803,41.803,39.831,3261.583235,129912.1218,0.00571094,0.00581957,0.00581334,0.00576591,488.1155254,2.814430189,
95,39.825,44.062,39.943,43.704,5208.884868,227649.1043,0.00566496,0.00599999,0.00575103,0.00598888,821.959409,4.922616265,
96,42.667,47.395,43.76,46.285,5361.815588,248171.6345,0.00587784,0.00648891,0.00597427,0.00629118,1864.987012,11.73296899,
97,45.03,64.49,46.039,51.006,42639.81323,2174886.314,0.00618686,0.00769999,0.00629118,0.00694385,6819.77649,47.35550498,
98,50.723,57.75,51.052,56.793,28718.42259,1631005.374,0.00680913,0.00767833,0.00695165,0.00731544,3909.300385,28.59825241,
99,53.182,57.749,56.793,54.472,16806.11707,915462.8089,0.00663969,0.00737614,0.00731544,0.0066741,4081.88022,27.24287677,
100,50.934,56.933,54.614,52.463,15669.26737,822056.7738,0.00635406,0.0068049,0.0066747,0.0065125,3285.851975,21.39911099,
101,49.601,53.1,52.178,50.621,6469.324981,327483.6999,0.00588,0.00667917,0.00649928,0.00644699,2111.109503,13.61030185,
102,49.7,57.212,50.513,56.81,11005.20266,625205.5633,0.00636096,0.00715529,0.0064405,0.00695154,2985.815438,20.75601545,
103,55.648,68.315,56.931,63.5,39601.40574,2514689.264,0.00682747,0.00834996,0.00694825,0.00788999,8416.574662,66.40668992,
104,61.364,67.99,63,66.321,18397.52368,1220142.168,0.00707,0.00842992,0.00786606,0.00806535,3999.979685,32.26123615,
105,63.591,71.548,66.155,69.464,17205.10209,1195135.211,0.00787588,0.0087767,0.00806535,0.00856464,4629.454805,39.6496138,
106,69.392,91.059,69.707,88.944,82586.21992,7345548.744,0.00844471,0.0106,0.00855301,0.01008871,19430.3353,196.027018,
107,88.46,144.996,89.156,132.004,184294.5569,24327618.69,0.01004355,0.01646121,0.0101064,0.0150564,34583.03477,520.6960047,
108,112.452,134.25,132.973,127.064,79884.08996,10150392.01,0.01312129,0.01530287,0.01508897,0.01454865,14421.97483,209.8202642,
109,108.27,127.652,127.003,112.737,58396.69536,6583468.245,0.01227426,0.01461579,0.01459916,0.01274524,11459.02186,146.0479837,
110,96.104,116.706,113.501,101.47,51193.9996,5194655.139,0.01089,0.01310028,0.0127199,0.01134351,6699.736444,75.99852735,
111,91.338,109.456,101.506,105.203,44630.19028,4695229.908,0.01074051,0.01246557,0.01134762,0.01207101,5954.040581,71.87128339,
112,100,115.25,105.101,108.92,44010.35599,4793607.975,0.01160377,0.01338277,0.0120985,0.01266943,6612.595465,83.77781536,
113,104.252,114.199,108.926,110.07,21263.45581,2340468.581,0.01231,0.01319155,0.01273789,0.012666,3646.56988,46.18745409,
